import time: self [us] | cumulative | imported package
import time:       234 |        456 |                         python_multipart.decoders
import time:       740 |       1195 |                       python_multipart.multipart
import time:       283 |       1478 |                     python_multipart
import time:       627 |       2105 |                   starlette.formparsers
import time:       367 |       3753 |                 starlette.requests
import time:       371 |       5451 |               fastapi.security.api_key
import time:       195 |        195 |                 fastapi.security.utils
import time:       864 |       1058 |               fastapi.security.http
import time:       867 |        867 |                 fastapi.param_functions
import time:      1903 |       2770 |               fastapi.security.oauth2
import time:       202 |        202 |               fastapi.security.open_id_connect_url
import time:       214 |       9694 |             fastapi.security
import time:        10 |       9704 |           fastapi.security.base
import time:       832 |      10759 |         fastapi.dependencies.models
import time:       150 |        150 |             starlette.background
import time:       194 |        344 |           fastapi.background
import time:       158 |        158 |           fastapi.concurrency
import time:       146 |        146 |           fastapi.utils
import time:      6978 |       6978 |               _hashlib
import time:      1732 |       1732 |               _blake2
import time:      1039 |       9748 |             hashlib
import time:        42 |         42 |               _winapi
import time:        42 |         42 |               winreg
import time:       515 |        598 |             mimetypes
import time:       409 |        409 |               hmac
import time:      1134 |       1543 |             secrets
import time:       424 |      12312 |           starlette.responses
import time:       776 |        776 |           starlette.websockets
import time:       946 |      14680 |         fastapi.dependencies.utils
import time:       380 |        380 |             colorsys
import time:       645 |       1025 |           pydantic.color
import time:        43 |         43 |             pydantic_extra_types
import time:         8 |         51 |           pydantic_extra_types.color
import time:       505 |       1581 |         fastapi.encoders
import time:      1382 |       1382 |         fastapi.sse
import time:       422 |        422 |           starlette._exception_handler
import time:       535 |        535 |           starlette.convertors
import time:      1400 |       1400 |           starlette.middleware
import time:       743 |       3099 |         starlette.routing
import time:       367 |        367 |         starlette.staticfiles
import time:      3478 |     311098 |       fastapi.routing
import time:        92 |         92 |         fastapi.websockets
import time:       141 |        233 |       fastapi.exception_handlers
import time:       569 |        569 |         fastapi.middleware
import time:       171 |        740 |       fastapi.middleware.asyncexitstack
import time:       354 |        354 |       fastapi.openapi.docs
import time:      1329 |       1329 |             email.feedparser
import time:       524 |       1853 |           email.parser
import time:      1307 |       3159 |         http.client
import time:     36059 |      36059 |           orjson.orjson
import time:       981 |      37039 |         fastapi.responses
import time:       433 |      40631 |       fastapi.openapi.utils
import time:      2066 |       2066 |             html.entities
import time:     13836 |      15902 |           html
import time:       573 |      16475 |         starlette.middleware.errors
import time:       630 |        630 |         starlette.middleware.exceptions
import time:       551 |      17655 |       starlette.applications
import time:       576 |        576 |       starlette.middleware.base
import time:      1279 |     377987 |     fastapi.applications
import time:       606 |        606 |     fastapi.requests
import time:       279 |     389719 |   fastapi
import time:       516 |        516 |         itsdangerous.exc
import time:       479 |        995 |       itsdangerous.encoding
import time:       514 |        514 |         itsdangerous.signer
import time:       552 |       1066 |       itsdangerous.serializer
import time:      1273 |       1273 |       itsdangerous.timed
import time:       475 |        475 |         itsdangerous._json
import time:       598 |       1073 |       itsdangerous.url_safe
import time:       993 |       5396 |     itsdangerous
import time:       459 |       5855 |   starlette.middleware.sessions
import time:       553 |        553 |     backend.app.api
import time:       673 |        673 |           sqlalchemy.util.preloaded
import time:        93 |         93 |               sqlalchemy.cyextension
import time:      3254 |       3254 |               sqlalchemy.cyextension.collections
import time:      1648 |       1648 |               sqlalchemy.cyextension.immutabledict
import time:      2795 |       2795 |               sqlalchemy.cyextension.processors
import time:      3389 |       3389 |               sqlalchemy.cyextension.resultproxy
import time:      4413 |       4413 |                     platform
import time:       563 |       4976 |                   sqlalchemy.util.compat
import time:       775 |       5750 |                 sqlalchemy.exc
import time:      1237 |       6987 |               sqlalchemy.cyextension.util
import time:       150 |      18314 |             sqlalchemy.util._has_cy
import time:       956 |        956 |             sqlalchemy.util.typing
import time:       755 |      20024 |           sqlalchemy.util._collections
import time:        50 |         50 |             greenlet
import time:       587 |        636 |           sqlalchemy.util.concurrency
import time:      1308 |       1308 |             sqlalchemy.util.langhelpers
import time:       477 |       1785 |           sqlalchemy.util.deprecations
import time:       451 |      23566 |         sqlalchemy.util
import time:      2006 |       2006 |                           sqlalchemy.event.registry
import time:       471 |       2476 |                         sqlalchemy.event.legacy
import time:       793 |       3268 |                       sqlalchemy.event.attr
import time:       716 |       3984 |                     sqlalchemy.event.base
import time:       501 |       4484 |                   sqlalchemy.event.api
import time:       247 |       4731 |                 sqlalchemy.event
import time:       445 |        445 |                       sqlalchemy.log
import time:      1506 |       1950 |                     sqlalchemy.pool.base
import time:      1011 |       2961 |                   sqlalchemy.pool.events
import time:       710 |        710 |                     sqlalchemy.util.queue
import time:       977 |       1687 |                   sqlalchemy.pool.impl
import time:       610 |       5256 |                 sqlalchemy.pool
import time:       823 |        823 |                       sqlalchemy.sql.roles
import time:      1115 |       1115 |                       sqlalchemy.inspection
import time:      1451 |       3388 |                     sqlalchemy.sql._typing
import time:       942 |        942 |                       sqlalchemy.sql.visitors
import time:      1244 |       1244 |                       sqlalchemy.sql.cache_key
import time:       796 |        796 |                         sqlalchemy.sql.operators
import time:       714 |       1510 |                       sqlalchemy.sql.traversals
import time:      1716 |       5410 |                     sqlalchemy.sql.base
import time:      1021 |       1021 |                       sqlalchemy.sql.coercions
import time:       465 |        465 |                             sqlalchemy.sql.annotation
import time:      7066 |       7066 |                                 sqlalchemy.sql.type_api
import time:      3368 |      10433 |                               sqlalchemy.sql.elements
import time:       386 |        386 |                               sqlalchemy.util.topological
import time:      1228 |      12047 |                             sqlalchemy.sql.ddl
import time:      1299 |       1299 |                                     _compat_pickle
import time:      2275 |       2275 |                                     _pickle
import time:        72 |         72 |                                         org
import time:        10 |         82 |                                       org.python
