import time: self [us] | cumulative | imported package
import time:       617 |        617 |                 anyio.streams.tls
import time:       590 |        590 |                         _heapq
import time:       265 |        854 |                       heapq
import time:       663 |        663 |                         fcntl
import time:        42 |         42 |                         msvcrt
import time:       698 |        698 |                         _posixsubprocess
import time:       432 |       1833 |                       subprocess
import time:       142 |        142 |                       asyncio.constants
import time:        86 |         86 |                           asyncio.format_helpers
import time:       112 |        198 |                         asyncio.base_futures
import time:        82 |         82 |                         asyncio.log
import time:       225 |        504 |                       asyncio.coroutines
import time:       132 |        132 |                           asyncio.exceptions
import time:        89 |         89 |                           asyncio.base_tasks
import time:       620 |        839 |                         _asyncio
import time:       386 |       1225 |                       asyncio.events
import time:       256 |        256 |                       asyncio.futures
import time:       177 |        177 |                       asyncio.protocols
import time:       251 |        251 |                         asyncio.transports
import time:       761 |       1011 |                       asyncio.sslproto
import time:        89 |         89 |                           asyncio.mixins
import time:       613 |        613 |                           asyncio.tasks
import time:       242 |        944 |                         asyncio.locks
import time:       245 |       1188 |                       asyncio.staggered
import time:       217 |        217 |                       asyncio.trsock
import time:       575 |       7977 |                     asyncio.base_events
import time:        93 |         93 |                     asyncio.runners
import time:       140 |        140 |                     asyncio.queues
import time:       313 |        313 |                     asyncio.streams
import time:       216 |        216 |                     asyncio.subprocess
import time:        84 |         84 |                     asyncio.threads
import time:       245 |        245 |                       asyncio.base_subprocess
import time:       380 |        380 |                       asyncio.selector_events
import time:       420 |       1044 |                     asyncio.unix_events
import time:       178 |      10043 |                   asyncio
import time:         8 |      10050 |                 asyncio.coroutines
import time:       612 |      15124 |               anyio._core._sockets
import time:       843 |        843 |                 anyio.streams.memory
import time:       238 |       1081 |               anyio._core._streams
import time:       248 |        248 |               anyio._core._subprocesses
import time:       212 |        212 |                       _compression
import time:       527 |        527 |                       _bz2
import time:       151 |        889 |                     bz2
import time:       564 |        564 |                       _lzma
import time:       335 |        899 |                     lzma
import time:       396 |       2184 |                   shutil
import time:       331 |       2515 |                 tempfile
import time:       403 |       2917 |               anyio._core._tempfile
import time:       402 |      36329 |             anyio
import time:         7 |      36336 |           anyio.to_thread
import time:       545 |        545 |             http
import time:       303 |        848 |           starlette.exceptions
import time:       188 |      37371 |         starlette.concurrency
import time:       281 |        281 |         starlette.types
import time:       844 |      38944 |       starlette.datastructures
import time:       850 |        850 |         http.cookies
import time:        50 |         50 |           _winapi
import time:        38 |         38 |           winreg
import time:       520 |        607 |         mimetypes
import time:       337 |        337 |         starlette._utils
import time:       214 |        214 |         starlette.background
import time:       372 |        372 |                 numbers
import time:       205 |        205 |                   python_multipart.exceptions
import time:       181 |        385 |                 python_multipart.decoders
import time:       528 |       1284 |               python_multipart.multipart
import time:       455 |       1739 |             python_multipart
import time:       614 |       2352 |           starlette.formparsers
import time:       343 |       2695 |         starlette.requests
import time:       667 |       5368 |       starlette.responses
import time:       228 |        228 |       authlib.integrations.base_client.async_app
import time:       196 |        196 |       authlib.integrations.base_client.async_openid
import time:       235 |        235 |                 authlib.oauth1.rfc5849.errors
import time:       157 |        157 |                   authlib.oauth1.rfc5849.util
import time:       228 |        385 |                 authlib.oauth1.rfc5849.signature
import time:       162 |        780 |               authlib.oauth1.rfc5849.base_server
import time:       347 |       1127 |             authlib.oauth1.rfc5849.authorization_server
import time:       141 |        141 |               authlib.oauth1.rfc5849.parameters
import time:       495 |        495 |                           email.header
import time:       316 |        811 |                         email._policybase
import time:       407 |       1217 |                       email.feedparser
import time:       236 |       1453 |                     email.parser
import time:       253 |        253 |                       uu
import time:       798 |        798 |                       email._encoded_words
import time:       234 |        234 |                       email.iterators
import time:       499 |       1782 |                     email.message
import time:       739 |       3973 |                   http.client
import time:       235 |        235 |                     urllib.response
import time:       270 |        505 |                   urllib.error
import time:       733 |        733 |                   _scproxy
import time:       845 |       6055 |                 urllib.request
import time:       157 |       6212 |               authlib.oauth1.rfc5849.wrapper
import time:       287 |       6640 |             authlib.oauth1.rfc5849.client_auth
import time:       269 |        269 |             authlib.oauth1.rfc5849.models
import time:       624 |        624 |             authlib.oauth1.rfc5849.resource_protector
import time:       209 |       8865 |           authlib.oauth1.rfc5849
import time:       194 |       9059 |         authlib.oauth1
import time:       158 |        158 |             httpx.__version__
import time:       391 |        391 |                   httpx._exceptions
import time:      1606 |       1606 |                     http.cookiejar
import time:       654 |        654 |                         httpx._types
import time:       226 |        226 |                         httpx._utils
import time:       254 |       1133 |                       httpx._multipart
import time:       296 |       1428 |                     httpx._content
import time:        42 |         42 |                       brotli
import time:        36 |         36 |                       brotlicffi
import time:      1211 |       1211 |                         platform
import time:       813 |        813 |                         zstandard.backend_c
import time:       285 |       2308 |                       zstandard
import time:       182 |       2566 |                     httpx._decoders
import time:       450 |        450 |                     httpx._status_codes
